date,time,cost_cad,category,store_name,store_type,city,state,country,latitude,longitude
2025-09-17,07:00:00,168,cash,null,null,null,null,null,null,null
2025-09-17,08:17:00,157,travel insurance,Pacific Blue Cross,insurance,null,null,null,null,null
2025-09-17,13:29:00,5.25,food and drink,Village Social,cafe,Canal Flats,BC,CA,50.1568770453769,-115.810294848193
2025-09-17,16:42:00,4.99,food and drink,Wasa Lake Gas & Food,convenience store,Wasa,BC,CA,49.7906286689306,-115.747259836455
2025-09-18,10:14:00,30.6,food and drink,Shell,convenience store,Jaffray,BC,CA,49.3761067241411,-115.298155817568
2025-09-18,15:41:00,8.31,border entrance fee,U.S. Customs and Border Protection,port of entry,Roosville,MT,US,48.9985229337928,-115.056944419442
2025-09-18,16:05:00,42.46,food and drink,Watson's Market,grocery store,Eureka,MT,US,48.9016712451011,-115.056280705954
2025-09-18,17:28:00,17.27,food and drink,Tacos4Ever,restaurant,Eureka,MT,US,48.8869184510407,-115.053283249181
2025-09-19,11:43:00,2.2,food and drink,McDonald’s,restaurant,Whitefish,MT,US,48.3962405977117,-114.334747004144
2025-09-19,12:17:00,12.45,bike maintenance,Glacier Cyclery & Nordic,bike shop,Whitefish,MT,US,48.4108933092691,-114.338967246473
2025-09-19,15:53:00,24.94,food and drink,Ranger Joe’s Pizza,restaurant,Kalispell,MT,US,48.1825387878533,-114.3044694195
2025-09-19,18:48:00,7.99,food and drink,Blacktail Grocery,grocery store,Lakeside,MT,US,48.0173638838743,-114.225681213972
2025-09-20,12:35:00,4.5,food and drink,Starbucks,cafe,Polson,MT,US,47.6939981889819,-114.147188763646
2025-09-20,13:22:00,16.62,food and drink,Burrito Brothers,restaurant,Polson,MT,US,47.6900908612444,-114.125221419836
2025-09-20,14:48:00,3.45,food and drink,McDonald’s,restaurant,Polson,MT,US,47.6960719734511,-114.126827425496
2025-09-20,21:27:00,33.16,food and drink,Exxon,convenience store,Missoula,MT,US,46.9592089702448,-114.13290869221
2025-09-21,08:56:00,58.6,food and drink,Walmart,supercenter,Missoula,MT,US,46.887940089765,-114.041519156321
2025-09-21,10:22:00,4.71,food and drink,Lighthouse Espresso,cafe,Missoula,MT,US,46.8799487490956,-114.017895573451
2025-09-21,12:36:00,36.03,food and drink,Tandem Bakery & Cafe,restaurant,Missoula,MT,US,46.8599979939923,-113.988713141676
2025-09-21,15:04:00,1.37,food and drink,Clinton Market,convenience store,Clinton,MT,US,46.7775422932356,-113.709930761928
2025-09-21,18:15:00,10.77,food and drink,Conoco,convenience store,Drummond,MT,US,46.6651960896036,-113.140608288925
2025-09-21,20:57:00,37.38,camping,Bernie and Sharon's Riverfront RV Park,campground,Garrison,MT,US,46.5192232801267,-112.7954708601
2025-09-22,15:04:00,16.9,food and drink,El Salero,restaurant,Helena,MT,US,46.6001636739952,-112.0465280466
2025-09-22,16:34:00,15.23,food and drink,Old Salt Outpost,restaurant,Helena,MT,US,46.5908043647351,-112.037651061941
2025-09-22,17:02:00,55.38,bike maintenance,Big Sky Cycling,bike shop,Helena,MT,US,46.5954304444471,-112.033895361941
2025-09-22,20:19:00,6.81,food and drink,Bob’s Supermarket,grocery store,Townsend,MT,US,46.3166187216884,-111.518302800596
2025-09-22,20:30:00,14.23,shower,V42 Fitness,gym,Three Forks,MT,US,46.3243170618258,-111.524399192641
2025-09-22,20:55:00,15.92,food and drink,Full Belli Deli,restaurant,Townsend,MT,US,46.3180957596506,-111.52007146196
2025-09-23,04:53:00,47.53,food and drink,Walmart,supercenter,Bozeman,MT,US,45.6947812550298,-111.042776460156
2025-09-23,15:55:00,5.2,food and drink,"The Shoppe Pastry, Coffeehouse & Deli",bakery,Three Forks,MT,US,45.8935340514939,-111.552058046648
2025-09-23,21:38:00,21.16,food and drink,Spitz,restaurant,Bozeman,MT,US,45.6798500592424,-111.022812519674
2025-09-23,23:00:00,53.91,camping,Bear Canyon Campground,campground,Bozeman,MT,US,45.6515998633729,-110.946092715983
2025-09-24,12:11:00,3.68,food and drink,Starbucks,cafe,Livingston,MT,US,45.6431124832427,-110.574665835017
2025-09-24,18:41:00,7.15,food and drink,Sinclair,convenience store,Gardiner,MT,US,45.0621581946165,-110.76164667164
2025-09-24,19:05:00,21.47,food and drink,Ridley’s Family Markets,grocery store,Gardiner,MT,US,45.0348441536522,-110.710756804376
2025-09-24,19:50:00,68.71,food and drink,Albertsons,grocery store,Livingston,MT,US,45.6424015883319,-110.575706146665
2025-09-24,21:00:00,34.62,camping,Mammoth Campground,campground,Yellowstone National Park,WY,US,44.9765103143219,-110.69407410438
2025-09-25,10:29:00,5.94,food and drink,Sinclair,convenience store,Yellowstone National Park,WY,US,44.9756714230809,-110.703611768912
2025-09-25,19:40:00,16.12,camping,Madison Campground,campground,Yellowstone National Park,WY,US,44.6460706027,-110.861282992346
2025-09-25,19:51:00,5.97,food and drink,Madison Mercantile,convenience store,Yellowstone National Park,WY,US,44.6442858745354,-110.862012180649
2025-09-26,12:00:00,12.58,food and drink,Old Faithful General Store,convenience store,Yellowstone National Park,WY,US,44.4570784048458,-110.827933977426
2025-09-26,18:11:00,65.11,food and drink,Colter Bay Grocery Store,grocery store,Moran,WY,US,43.90503963114,-110.64124378911
2025-09-27,12:05:00,8.33,food and drink,Snake River Roasting Company,cafe,Jackson,WY,US,43.4797875909017,-110.763087973797
2025-09-27,13:15:00,3.89,food and drink,McDonald’s,restaurant,Jackson,WY,US,43.4735082163359,-110.786879646809
2025-09-27,15:47:00,2.7,food and drink,Phillips 66,convenience store,Alpine,WY,US,43.1729072849477,-111.017729831488
2025-09-27,16:49:00,27.34,food and drink,Broulin’s Fresh Foods,convenience store,Alpine,WY,US,43.1721743861648,-111.0164263862
2025-09-27,19:00:00,23.73,camping,Star Valley Ranch RV Park,campground,Thayne,WY,US,42.9679122354488,-110.972171146842
2025-09-28,09:25:00,3.6,food and drink,Maverik,convenience store,Thayne,WY,US,42.9177061557624,-111.001756804515
2025-09-28,11:05:00,3.6,food and drink,Maverik,convenience store,Afton,WY,US,42.7257574123553,-110.932767848704
2025-09-28,17:24:00,23.7,food and drink,Domino’s,restaurant,Montpelier,UT,US,42.3174269682886,-111.307000718048
2025-09-29,09:47:00,34.6,food and drink,Bear Lake Market,convenience store,Garden City,UT,US,41.9470358089665,-111.393951954293
